Job Title,Salary Estimate,Company Name,Location,Job Description,Rating,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,employer_est,glassdoor_est,Min Salary,Max Salary,age,company_txt
Data Engineer/MACHINE LEARNING,$60.00 - $70.00 Per Hour (Employer est.),TellusSolutions3.7 ★,"Sunnyvale, CA","Job Description:
The role will be responsible for expanding and optimizing our data and data pipeline architecture, as well as optimizing data flow and collection for cross functional teams.
The ideal candidate is an experienced data pipeline builder and data wrangler who enjoy optimizing data systems and building them from the ground up.
The Data Engineer will support our software developers, database architects, and data analysts and data scientists on data initiatives and will ensure optimal data delivery architecture is consistent throughout ongoing projects. They must be self-directed and comfortable supporting the data needs of multiple teams, systems and products.
The right candidate will be excited by the prospect of optimizing or even re-designing our data architecture to support our next generation of products and data initiatives.
Responsibilities:
Create and maintain optimal data pipeline architecture for data intensive applications.
Assemble large, complex data sets that meet functional / non-functional business requirements.
Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.
Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using Azure SQL, Cosmo DB, Databricks and other legacy databases.
Build analytics tools that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency and other key business performance metrics.
Work with stakeholders including the Executive, Product, Data and Design teams to assist with data-related technical issues and support their data infrastructure needs.
Keep our data separated and secure across national boundaries through multiple data centers and Azure regions.
Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.
Work with data and analytics experts to strive for greater functionality in our data systems.
Qualifications for Data Engineer
Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases.
Extensive Experience on Databricks on Azure Cloud platform, deep understanding on Delta lake, Lake House Architecture.
Programming experience on Python, Shell scripting, PySpark, and other data programming language.
Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement.
Strong analytic skills related to working with Data Visualization Dashboard, Metrics and etc.
Build processes supporting data transformation, data structures, metadata, dependency and workload management.
Skills:
A successful history of manipulating, processing and extracting value from large disconnected datasets.
Working knowledge of message queuing, stream processing, and highly scalable 'big data' data stores.
Familiar with Deployment tool like Docker and building CI/CD pipelines.
Experience supporting and working with cross-functional teams in a dynamic environment.
8+ years' experience in software development, Data engineering, and
Bachelor's degree in computer science, Statistics, Informatics, Information Systems or another quantitative field. Postgraduate/master's degree is preferred.
Experience in Machine Learning and Data Modeling is a plus.
Job Type: Contract
Pay: $60.00 - $70.00 per hour
Benefits:
401(k)
Dental insurance
Vision insurance
Compensation package:
Hourly pay
Schedule:
8 hour shift
Ability to commute/relocate:
Sunnyvale, CA 94086: Reliably commute or planning to relocate before starting work (Required)
Experience:
Python: 1 year (Preferred)
SQL: 1 year (Preferred)
Work Location: In person
Show Less
Report",3.7,51 to 200 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),1,1,0,60.0,70.0,17,TellusSolutions
Data Architect,$160K - $230K (Employer est.),Appcues4.9 ★,Remote,"Your work as Appcues’ Data Architect will empower thousands of Appcues customers to improve their SaaS products’ adoption and engagement for millions of their end-users. Appcues’ no-code tools have helped customers deliver over 1.4 billion in-app web and mobile experiences such as onboarding guides, tips, announcements, and surveys. Our customers, such as Fullstory, Lyft, and Twilio, depend on our services to deliver these in-app experiences. Your mission will be to evolve our platform’s data architecture to support several new product initiatives and new products. You will collaborate closely with our product team and platform engineers to gather requirements, design and implement foundational changes that will power Appcues for years.
Tools we use
We store data in PostgreSQL, DynamoDB, S3, Redis, and Snowflake. We operate data pipelines and event streams using Kafka and SQS.
We manage, monitor, and deploy code using CircleCI, Terraform, and AWS CodeDeploy, CloudFormation, DataDog.
Our platform is powered using Elixir, Node running on Lambdas, ECS, and EC2.
Our engineers communicate primarily via Slack, and are committed to remote, agile development using Kanban.
About the role
Our fully remote engineering team currently has over 45 people. As Data Architect you will work closely with our Platform engineering teams to define our data platform and collaborate with the team on implementation.
Our data model is currently defined in Snowflake, DynamoDB and Postgres and is optimized for delivering experiences embedded in our customers' SaaS applications. Your goal will be to evolve that data model to support additional use cases and products.
Our platform handles over a billion requests from our customer sites per day via our JavaScript and mobile SDKs and from partners like Segment.io and Zapier. It also includes services that process customer rules for personalization, segmentation, and targeting.
You will evolve our data model using domain-driven design and other strategies to support our product and business objectives and adapt to current constraints.
On a typical day, you may work with our product managers to understand our business’ data model and future goals, collaborate with frontend and backend teams on constraints and needs, publish models, write technical proposals, architect solutions, work with tech leads to break epics, implement features, or mentor others.
You'll be involved in all research & development, including discovery and testing of new features and products. You will work with engineers, designers, and product managers to discover solutions, including identifying and mitigating any feasibility risks.
You will select and propose suitable database technologies to meet our business objectives including defining ETL processes for data transformation.
Work closely with the Security and Compliance team on data security measures and on ensuring compliance with regulations and data governance frameworks.
Become an expert on the data Appcues needs for products, integrations, and customers to be successful.
About you
You have designed, built and evolved significant data models to support the rapid growth of large distributed applications and product activity / analytics data. You have excellent judgment across multiple database implementations, including columnar, relational and streaming database technologies. You are pragmatic, not dogmatic, and are aware of the strengths & weaknesses of your tools.
You have deep experience using Snowflake and AWS database stacks. You are an expert in domain-driven design and data modeling, and proficient in data transformation, performance tuning, and data warehousing.
You are comfortable influencing cross-team practices, and tools by rolling up your sleeves and showing how things can improve. You can clearly describe the business implications of your technical decisions. You are excited to develop a vision & future technical roadmap of a data platform.
You enjoy mentoring other engineers and helping them grow technically. You often have become a key go-to person in your company, even on projects outside your project area.
You have led the delivery of data platform initiatives for B2B SaaS applications with significant analytics needs. For example, systems that have ingested and processed data at significant scale, managed elastic workloads using queue/worker or streaming architectures, and power the visualization of millions of data points.
While our company supports remote work, we require your availability for team collaboration during the core hours of 10 am to 4 pm Eastern Time.
You are energized working in a highly collaborative environment at a customer-driven startup.
Note - Appcues uses a market-data driven approach to setting compensation ranges, and pins compensation ranges to data provided by third-party organizations. This range is for all US-based candidates and is built to be competitive nationwide by utilizing ranges for the Greater Boston area, regardless of where in the US an employee lives (or later relocates). This range represents salary-based compensation and does not include our equity package (in stock options), 401k match, or other benefits including an office setup budget, tech budget, training and education budget, and co-working space reimbursements. Actual compensation offered to a successful applicant may be based on job-related experience and other factors consistent with applicable law. For non-US based candidates, Appcues adjusts salary ranges based on cost of labor in each market. If you have questions on the pay range in your country, the recruiter will be happy to discuss specifics during your introductory conversation.""

About Us

Appcues' mission is to help teams deliver experiences their users love. Our vision is for every software company to embrace product-led growth, resulting in more engaged and happier users.

Our Benefits

100% remote - We don’t have an office so all of our employees learn and collaborate in the same way using remote work practices. This won't change post-COVID as we are committed to being 100% remote for the long-term. We work in Slack, Zoom, and a collection of modern collaboration tools. We have inclusive remote events and we get together annually for a fun off-site retreat.
Well-being - You'll have solid health, dental, and vision plans; access to 401k, and a generous maternity and paternity leave.
Fair pay - Each role has a defined salary band, bands and salaries are audited on a regular basis to help maintain fairness and market value
Home office and tech budget - Besides paying for your work computer (Mac or PC), we offer a one-time $1000 home office stipend and an additional $500 annual budget for extra work-related technology.
Coworking space, on us - Home office not cutting it? We'll reimburse your monthly coworking fees.
Equity - We want everyone invested in our success. We grant every employee equity in the company.
Transparency and collaboration - We foster team alignment with meetings of all shapes and sizes—a monthly all-hands meeting called FirstThurs, weekly team lunches, and Lunch & Learns., and an annual learning stipend.
Flexible Time Off - We believe time away to reflect and explore makes us all more productive, so employees don’t accrue vacation time – they work with their managers to schedule time off when they need it, consistent with our Flexible Time Off policy. Employees based in the USA also take off all US federal holidays. Employees residing in other countries can choose to follow their local national holidays or US federal holidays.
Show Less
Report",4.9,1 to 50 Employees,2014,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,0,1,0,160.0,230.0,9,Appcues
Global Breeding R&D Data Architect,$77K - $108K (Employer est.),Driscoll's4.2 ★,"Watsonville, CA","About the Opportunity:
Global Breeding drives significant value for Driscoll’s enterprise, operating breeding programs and research centers across the globe to produce elite, proprietary berry varieties. The role of the Global R&D Breeding Data Architect will be to design and implement data solutions for managing, storing, processing, and facilitating access to our complex plant breeding data. The ideal candidate will enhance our breeders’ abilities to make informed, data-driven decisions and will streamline the flow of data into genomic prediction models.

**Hybrid role - combination of remote work and onsite at our Watsonville, CA location**

Responsibilities:
Collaborate with Global Breeding data stakeholders to understand their data requirements, challenges, requests, and opportunities for improvement.
Serve as a liaison between Global Breeding and Information Services to connect and align mutual requests related to data management.
Enhance and create data collection tools and techniques to ensure adequacy, accuracy, and legitimacy of data; provide training with end-users as necessary.
Assist in the definition and implementation of streamlined workflows to systematically integrate breeding data into genomic predictive analyses.
Design and implement scalable, secure, and performant data solutions to improve data availability to stakeholders and to accelerate data analysis and reporting within Global Breeding.
Evaluate and recommend appropriate technology and tools for data management, including database systems, data integration and transformation tools, and data visualization tools.
Ensure breeding data solutions are integrated with other systems and processes, and provide ongoing technical support and troubleshooting as needed.
Create and maintain data management roadmaps, guidelines, and best practices to ensure data consistency and accuracy across the organization.
Act as a technical advisor for data-related projects and provide technical guidance and support to cross-functional teams.
Oversee the integration of new technologies and initiatives into data standards and structures.

Candidate Profile:
Bachelor’s in Computer Science, Information Systems, or related field.
2-4 years’ experience as a data manager, working with data architecture and solution design with a focus on complex data management solutions.
Proficiency in database systems (Microsoft SQL Server required), data integration and transformation tools, and data visualization tools (e.g., R, Tableau, XLStat).
Ability to analyze, interpret, and organize large amounts of data.
Ability to understand breeding program and business processes and requirements and to design and implement effective data solutions.
Excellent communication skills, with the ability to explain technical concepts to non-technical stakeholders.
Excellent organizational and time-management skills and thorough attention to detail; ability to work effectively across multiple projects and deadlines, simultaneously.
Strong problem-solving and analytical skills, with the ability to think outside the box to find innovative solutions.
Familiarity with plant breeding and agricultural data and processes (nursery, yield trials, flavor evaluations, disease trials, etc.) preferred.
Spanish language proficiency a plus.
Ability to maintain a hybrid work schedule with time working from the office and from home.
Ability to travel (5% travel).
California Driver’s license and the ability to be covered under company-sponsored vehicle insurance program.

Compensation & Benefits:
The following information is provided in good faith as a general description of the salary range and benefits for the position posted. The actual compensation offered to the successful candidate is dependent upon experience, skills, education, work location, internal pay equity, and other objective job-related factors.
Salary Range estimated for the Global R&D Breeding Data Architect: $77,100 to $108,000 USD.
Driscoll’s is committed to a culture of care and offers an attractive benefits package that includes comprehensive medical, dental, and vision coverage, life insurance, and disability coverage for positions working more than 30 hours per week. Other benefits include: 401(k) with employer match, profit-sharing participation, paid sick time, paid vacation, paid personal and family care leave, and a free Employee Assistance Program (EAP). More detailed information regarding the benefits package, will be shared during the application process.

About Driscoll's:
Driscoll's is the global market leader for fresh strawberries, blueberries, raspberries and blackberries. With more than 100 years of farming heritage and hundreds of independent growers around the world, Driscoll's is passionate about growing fresh, beautiful and delicious berries. Our values of humility, passion and trustworthiness have guided our mission to delight consumers around the world.
Driscoll's exclusive patented berry varieties are developed through years of research using only natural breeding methods – meaning, no GMOs. From farm-to-table, we focus on delivering a high quality, premium berry experience with our many supply chain partners.
Driscoll's is the trusted brand for Only the Finest Berries™.



About Driscoll's:

Driscoll's is the global market leader for fresh strawberries, blueberries, raspberries and blackberries. With more than 100 years of farming heritage and hundreds of independent growers around the world, Driscoll's is passionate about growing fresh, beautiful and delicious berries. Our values of humility, passion and trustworthiness have guided our mission to delight consumers around the world. Driscoll's exclusive patented berry varieties are developed through years of research using only natural breeding methods – meaning, no GMOs. From farm-to-table, we focus on delivering a high quality, premium berry experience with our many supply chain partners. Driscoll's is the trusted brand for Only the Finest Berries™.
Start your job application: click Easy Apply
Show Less
Report",4.2,1001 to 5000 Employees,1900,Company - Private,Crop Production,Agriculture,$5 to $25 million (USD),0,1,0,77.0,108.0,123,Driscoll's
Data Engineer,$71.42 Per Hour (Employer est.),TELLUS SOLUTIONS3.7 ★,"Sunnyvale, CA","Job Description:
The role will be responsible for expanding and optimizing our data and data pipeline architecture, as well as optimizing data flow and collection for cross functional teams.
The ideal candidate is an experienced data pipeline builder and data wrangler who enjoy optimizing data systems and building them from the ground up.
The Data Engineer will support our software developers, database architects, and data analysts and data scientists on data initiatives and will ensure optimal data delivery architecture is consistent throughout ongoing projects. They must be self-directed and comfortable supporting the data needs of multiple teams, systems and products.
The right candidate will be excited by the prospect of optimizing or even re-designing our data architecture to support our next generation of products and data initiatives.
Responsibilities:
Create and maintain optimal data pipeline architecture for data intensive applications.
Assemble large, complex data sets that meet functional / non-functional business requirements.
Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.
Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using Azure SQL, Cosmo DB, Databricks and other legacy databases.
Build analytics tools that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency and other key business performance metrics.
Work with stakeholders including the Executive, Product, Data and Design teams to assist with data-related technical issues and support their data infrastructure needs.
Keep our data separated and secure across national boundaries through multiple data centers and Azure regions.
Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.
Work with data and analytics experts to strive for greater functionality in our data systems.
Qualifications for Data Engineer
Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases.
Extensive Experience on Databricks on Azure Cloud platform, deep understanding on Delta lake, Lake House Architecture.
Programming experience on Python, Shell scripting, PySpark, and other data programming language.
Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement.
Strong analytic skills related to working with Data Visualization Dashboard, Metrics and etc.
Build processes supporting data transformation, data structures, metadata, dependency and workload management.
Skills:
A successful history of manipulating, processing and extracting value from large disconnected datasets.
Working knowledge of message queuing, stream processing, and highly scalable 'big data' data stores.
Familiar with Deployment tool like Docker and building CI/CD pipelines.
Experience supporting and working with cross-functional teams in a dynamic environment.
8+ years' experience in software development, Data engineering, and
Bachelor's degree in computer science, Statistics, Informatics, Information Systems or another quantitative field. Postgraduate/master's degree is preferred.
Experience in Machine Learning and Data Modeling is a plus.
Job Type: Contract
Salary: Up to $71.42 per hour
Benefits:
Health insurance
Ability to commute/relocate:
Sunnyvale, CA 94086: Reliably commute or planning to relocate before starting work (Required)
Experience:
Data modeling: 1 year (Preferred)
Machine learning: 1 year (Preferred)
Azure SQL: 1 year (Preferred)
Metadata: 1 year (Preferred)
Work Location: In person
Show Less
Report",3.7,51 to 200 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),1,1,0,71.42,71.42,17,TELLUS SOLUTIONS
Snowflake Data Architect - Remote Position,$85.00 - $120.00 Per Hour (Employer est.),YT Global Network5.0 ★,Remote,"Snowflake Architect- Remote
Long term contract
Responsibilities:
- Design and develop software architecture for complex systems
- Collaborate with cross-functional teams to define and implement software requirements
- Conduct code reviews and provide technical guidance to ensure high-quality code
- Analyze and optimize database design for efficient data storage and retrieval
- Implement analytics solutions to extract meaningful insights from big data
- Stay up-to-date with industry trends and emerging technologies to drive innovation
Qualifications
Experience in the implementation, execution, and maintenance of Data Integration technology solutions
Experience advancing and supporting information management practices within business processes, applications and technology that underpin the data discipline (e.g. establishing data quality processes, performing data analysis, participating in technology implementation planning, implementing data integration processes, etc)
Expertise in Snowflake data modeling, ELT using snowpipe, implementing stored procedures and standard DWH and ETL concepts
Expertise in Snowflake concepts like setting up resource monitors, RBAC controls, virtual warehouse, query performance tuning, Zero copy clone, time travel and understand how to use these features
Experience in Data Migration from RDBMS to Snowflake cloud data warehouse
Experience with enterprise cloud economics
Understanding of enterprise data management concepts (Data Governance, Data Engineering, Data Science, Data Lake, Data Warehouse, Data Sharing, Data Applications)
Hands-on expertise with SQL and SQL analytics
Industry benchmarking experience in major industries such as: Financial Services and Retail
Certifications for any of the cloud services like AWS, Snowflake, GCP or Azure
Experience working with code repositories and continuous integration
Understanding of development and project methodologies
Skills:
- Strong knowledge of database design principles and SQL
- Proficiency in programming languages such as Java, Python, or C++
- Experience with big data technologies and frameworks (e.g., Hadoop, Spark)
- Familiarity with analytics tools and techniques for data analysis and visualization
- Excellent problem-solving and analytical skills
- Strong communication and collaboration abilities
As a Software Architect, you will play a crucial role in designing and developing software solutions that meet the needs of our organization. Your expertise in database design, analytics, and big data will be instrumental in driving innovation and delivering high-quality software products.
Job Types: Full-time, Part-time, Contract
Pay: $85.00 - $120.00 per hour
Schedule:
Monday to Friday
Work Location: Remote
Show Less
Report",5.0,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,1,1,0,85.0,120.0,-1,YT Global Network
Senior Data Engineer,$100K - $133K (Glassdoor est.),LOOP BELL TECH INC3.7 ★,"Fort Worth, TX","Contract: W2
Note: No C2C
Responsibilities:
* Collaborates with architecture and technical leadership to define the vision and solutions
* Collaborate alongside other engineers of various disciplines to take the design and create executable pieces of work
* Participates in all phases of development
* Establishes and champions First Command data and data engineering standards/best practices
* Communicate and work alongside members of their team in support of their day-to-day work items
* Works with business partners to ensure alignment between the ask and the output
* Participate and lead peer reviews and champion peer review best practices and culture
* Key player and leader in an Agile environment, participating in daily huddles, sprint planning, retrospectives, etc.
* Mentors junior team members in best practices and standards
* Serve as escalation point for other team members on technical issues
* Leads effort to create and document deployment and release plans
* Works with architects to evaluate new technologies and patterns that will inform the technology roadmap
* Leads Communities of Practices or other cross functional training opportunities
* Leads troubleshooting processes to determine root cause analysis
REQUIREMENTS:
* Bachelor's degree required; MBA or MS or equivalent a plus
* 7+ years of applied experience in data integration, ETL, and data management or comparable positions that handle large/complex data sets, developing automation, and fostering business partner relationships
* Expert in one or more of the following ETL tools such as Azure Data Factory, Informatica, Matillion, Fivetran and DBT
* Experience working with a diverse set of data sources such as Flat File, Database, API, Event Streaming
* Expert in SQL with knowledge of T-SQL
* Strong experience in data modeling, data warehousing, and MDM solutions
* Familiar with Azure Synapse or Snowflake
* Familiar with Databricks Delta Lake
* Familiar with a scripting language such as python, powershell, or bash
* Familiar with data lake design patterns
* Excellent written communication and presentation skills
* Proficient in understanding of data mapping and lineage strategies
* Proficient in understanding in conceptual, logical, and physical data design
* Proficient in understanding of data management practices, data architecture principles, and data governance process
Preferred Qualifications:
* Expert in Azure Data Factory, Data Bricks, and Python
* Strong dimensional modelling skills
* Familiarity with DevOps principles and processes
* Applied experience in Agile, SAFe, or Scrum
* Financial services industry experience or other highly regulated industry experience a plus
* Familiarity with data science and analytics tools such as Alteryx, SPSS, SAS, Tableau, PowerBIResponsibilities:
* Collaborates with architecture and technical leadership to define the vision and solutions
* Collaborate alongside other engineers of various disciplines to take the design and create executable pieces of work
* Participates in all phases of development
* Establishes and champions First Command data and data engineering standards/best practices
* Communicate and work alongside members of their team in support of their day-to-day work items
* Works with business partners to ensure alignment between the ask and the output
* Participate and lead peer reviews and champion peer review best practices and culture
* Key player and leader in an Agile environment, participating in daily huddles, sprint planning, retrospectives, etc.
* Mentors junior team members in best practices and standards
* Serve as escalation point for other team members on technical issues
* Leads effort to create and document deployment and release plans
* Works with architects to evaluate new technologies and patterns that will inform the technology roadmap
* Leads Communities of Practices or other cross functional training opportunities
* Leads troubleshooting processes to determine root cause analysis
REQUIREMENTS:
* Bachelor's degree required; MBA or MS or equivalent a plus
* 7+ years of applied experience in data integration, ETL, and data management or comparable positions that handle large/complex data sets, developing automation, and fostering business partner relationships
* Expert in one or more of the following ETL tools such as Azure Data Factory, Informatica, Matillion, Fivetran and DBT
* Experience working with a diverse set of data sources such as Flat File, Database, API, Event Streaming
* Expert in SQL with knowledge of T-SQL
* Strong experience in data modeling, data warehousing, and MDM solutions
* Familiar with Azure Synapse or Snowflake
* Familiar with Databricks Delta Lake
* Familiar with a scripting language such as python, powershell, or bash
* Familiar with data lake design patterns
* Excellent written communication and presentation skills
* Proficient in understanding of data mapping and lineage strategies
* Proficient in understanding in conceptual, logical, and physical data design
* Proficient in understanding of data management practices, data architecture principles, and data governance process
Preferred Qualifications:
* Expert in Azure Data Factory, Data Bricks, and Python
* Strong dimensional modelling skills
* Familiarity with DevOps principles and processes
* Applied experience in Agile, SAFe, or Scrum
* Financial services industry experience or other highly regulated industry experience a plus
* Familiarity with data science and analytics tools such as Alteryx, SPSS, SAS, Tableau, PowerBI
Job Type: Contract
Schedule:
8 hour shift
Ability to commute/relocate:
Fort Worth, TX 76102: Reliably commute or planning to relocate before starting work (Required)
Application Question(s):
Willing to work W2
Experience:
Informatica: 1 year (Preferred)
SQL: 1 year (Preferred)
Data warehouse: 1 year (Preferred)
Work Location: In person
Show Less
Report",3.7,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,0,0,1,100.0,133.0,-1,LOOP BELL TECH INC
Data Architect,$95.41 Per Hour (Employer est.),Gointellects Inc.,Remote,-1,3.8,-1,-1,-1,-1,-1,-1,1,1,0,95.41,95.41,-1,Gointellects
Azure Data Architect,$80.23 - $90.61 Per Hour (Employer est.),Plaxonic Technologies Inc.4.6 ★,Remote,"Azure Data Architect
Location: Remote (West Coast)
Duration: Long Term W2
Experience and Education:
Responsibilities:
Must have 2+ years of experience as an Architect.
Uses analytical, data and SQL development skills to produce reports to support the Business in making data driven business decisions. Includes producing both ad-hoc and regularly scheduled reports. Reviews data to ensure validity.
Cloud - Azure experience required, Dev-Ops and CI/CD experience required.
Must have Data Bricks and ADF experience.
Provides analytical support for initiatives, including business function support for system migrations and consolidations, business area process improvement projects, and product installations.
Leads system requirements definition, design, testing, training and implementation support. Applies use of tools to define requirements and documentation.
Develops and/or reviews departmental business system requirements and business systems design documents, customer acceptance test plans, and post-implementation plans.
Works directly with external customers in implementing new reporting capabilities, systems enhancements and technology.
Provides analysis of efficiencies related to system enhancements/automation.
Developing use cases and test cases.
Executes system testing.
Facilitates and support user acceptance testing.
Required Skills:
1 plus years of experience in hands-on with SSIS, SSRS, SSAS design.
5 plus years of experience in SQL development-developing and designing.
Applications and/or reports on SQL server 2014.
Cloud / Azure experience.
DevOps and CI/CD experience.
Native Azure SQL Development required.
DataBricks experience required.
Azure Data Factory ADF required.
Healthcare – Managed Care experience required
Job Type: Contract
Salary: $80.23 - $90.61 per hour
Schedule:
8 hour shift
Experience:
Managed care: 10 years (Required)
Health Care: 10 years (Required)
Azure: 10 years (Preferred)
Architect: 4 years (Preferred)
Databricks/ADF: 5 years (Required)
Work Location: Remote
Show Less
Report",4.6,51 to 200 Employees,2013,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),1,1,0,80.23,90.61,10,Plaxonic Technologies Inc.
Data Modeler,$50.00 - $55.00 Per Hour (Employer est.),Snapana technologies,"San Francisco, CA",-1,4.6,-1,-1,-1,-1,-1,-1,1,1,0,50.0,55.0,-1,Snapana technol
Data Engineer,$100K - $160K (Employer est.),Effectual4.2 ★,Remote,"Position Summary
The Data Engineer builds pipelines that are used to transport date from a data source to a data warehouse. These pipelines are crucial: they are what enable an organization to access and analyze its data and use the insights to make business decisions. Data pipelines transport and transform data according to established business rules or a line of exploratory analysis the business wants to undertake. The Data Engineer prepares and organizes the data that organizations have built in their databases and other formats.
A Glimpse into the Daily Routine of a Data Engineer
A day in the life of a Data Engineer starts with building and delivering high quality data architectures and pipelines that support clients, business analysts, and data scientists. A Data Engineer also interfaces with other technology teams to extract, transform, and load [ETL] data from a wide variety of data sources. Effectual Data Engineers continually improve ongoing reporting and processes, as well as automate or simplify self-service for our clients. Effectual Data Engineers develop, code, and deploy scripts written in the Python programming language, as Python is the language of Data. All Data Engineers are first and foremost Software Engineers with an understanding of the SDLC process.
Essential Duties and Responsibilities
Develop, construct, test and maintain data architectures from the data architect
Analyze organic and raw data
Build data systems and pipelines
Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and AWS 'big data' technologies
Develop code and scripts for data architects, data scientists, and data quality engineers
Data acquisition
Identify ways to improve data reliability, efficiency, and quality
Develop data-set processes
Prepare data for prescriptive and predictive modeling
Automate the data collection and analysis processes, data releasing and reporting tools
Build algorithms and prototypes
Develop analytical tools and programs
Collaborate with data scientists and architects on projects/efforts
Qualifications
Bachelor's or master's degree in Computer Science, Engineering or a related field
Proven experience working as a Data Engineer, preferably in a professional services or consulting environment
Strong proficiency in programming languages such as Python, Java, or Scala, with expertise in data processing frameworks and libraries (e.g., Spark, Hadoop, SQL, etc.)
In-depth knowledge of database systems (relational and NoSQL), data modeling, and data warehousing concepts
Experience with cloud-based data platforms and services (e.g., AWS, Azure, Google Cloud) including familiarity with relevant tools and technologies (e.g., S3, Redshift, BigQuery, etc.)
Proficiency in designing and implementing ETL processes and data integration workflows using tools like Apache Airflow, Informatica, or Talend
Familiarity with data governance practices, data quality frameworks, and data security principles
Strong analytical and problem-solving skills, with the ability to translate business requirements into technical solutions
Excellent communication and collaborations skills, with the ability to effectively work with clients and cross-functional teams
Self-motivated and proactive, with a passion for learning and staying updated with the latest trends and advancements in the field of data engineering
Able to work with ambiguity and turn client wants and needs into working stories, epics which can be executed upon during a sprint. This means Data Engineers understand and know the 'agile' progress software delivery
A firm understanding of the SDLC process
An understanding of object-oriented programming
Needs minimal direction
AWS background
Solution Engineer mindset
Nice-to-Have Skills and Experience
A curious nature and inquisitive attitude when approaching problems
Have the attitude of 'good is not good enough' for our clients
Snowflake or Databricks certifications and/or hands-on-keyboard experience
Company Offered Benefits
Full-time employees are eligible to participate in our employee benefit programs:
Medical, dental, and vision health insurances,
Short term disability, long term disability and life insurances,
401k with Company match
Paid time off (PTO) (120 hours PTO that accrue over one year)
Paid time off for major holidays (14 days per year)
These and any other employee benefit offerings are subject to management's discretion and may change at any time.
Physical Demands and Work Environment
The work is generally performed in an office environment. Physical demands include sitting, keyboarding, verbal communication, written communication. Employees are occasionally required to stand; walk; reach with hands and arms; climb or balance; and stoop, kneel, crouch, or crawl. The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this position. Reasonable accommodation may be made to enable individuals with disabilities to perform the functions.
Salary Range for this position: $100,000-$160,000
CA ID IT10000003
""Salary ranges provided are for informational purposes only and may vary depending on factors such as experience, qualifications, and geographic location. The final salary offer will be determined based on the candidate's skills and alignment with the role requirements.""
This job description may not be inclusive of all assigned duties, responsibilities, or aspects of the job described, and may be amended anytime at the sole discretion of the Employer. Duties and responsibilities are subject to possible modification to reasonably accommodate individuals with disabilities. To perform this job successfully, the incumbents will possess the skills, aptitudes, and abilities to perform each duty proficiently. This document does not create an employment contract, implied or otherwise, other than an ""at will"" relationship. Effectual Inc. is an EEO employer and does not discriminate on the basis of any protected classification in its hiring, promoting, or any other job-related opportunity.
Show Less
Report",4.2,201 to 500 Employees,2018,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,0,1,0,100.0,160.0,5,Effectual
Database Administrator,$66K - $135K (Employer est.),NextRow Digital4.2 ★,Remote,"Database Administrator
Remote Work
Duration: Long Term
Rate: DOE
Maintains data storage and access by evaluating, designing and implementing company database[s].
Identifies data sources, constructs data decomposition diagrams, provides data flow diagrams and documents the process.
Writes codes for database access, modifications and constructions.
Relies on established guidelines and instructions to perform daily job functions.
Works under immediate supervision and usually reports to a manager.
Full-time professional work experience in Software Development, Maintenance, or Implementation.
May require a bachelor's degree in a related area and at least 2 years or equivalent experience in the field or in a related area. Substitutions:
Two (2) years of work experience as a Data Administrator ; Data Warehousing Administrator ; Data Architect ; Database Analyst-Intermediate ; Data Warehousing Analyst may substitute for all of the required experience.
*
Job Type: Contract
Salary: $65,715.18 - $134,727.87 per year
Schedule:
8 hour shift
Experience:
MySQL: 5 years (Preferred)
Database administration: 5 years (Preferred)
Oracle: 5 years (Preferred)
Work Location: Remote
Speak with the employer
+91
Show Less
Report",4.2,51 to 200 Employees,2008,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),0,1,0,66.0,135.0,15,NextRow Digital
